	ath	vvi
OG0000000	AT1G31540, AT1G56510, AT1G56520, AT1G56540, AT1G63730, AT1G63740, AT1G63750, AT1G63860, AT1G63870, AT1G63880, AT1G64070, AT1G65850, AT1G69550, AT2G14080, AT2G16870, AT3G04220, AT3G44400, AT3G44480, AT3G44670, AT4G08450, AT4G11170, AT4G14370, AT4G16890, AT5G11250, AT5G17970, AT5G18350, AT5G18360, AT5G18370, AT5G22690, AT5G38340, AT5G38350, AT5G38850, AT5G40910, AT5G41540, AT5G41550, AT5G41740, AT5G41750, AT5G44510, AT5G46260, AT5G46270, AT5G46450, AT5G46470, AT5G46520, AT5G49140, AT5G51630, AT5G58120	
OG0000001	AT1G31370, AT1G31380, AT1G31390, AT1G31400, AT2G01790, AT2G05400, AT2G05410, AT2G05420, AT2G05430, AT2G42455, AT2G42460, AT2G42465, AT2G42470, AT3G27040, AT3G29580, AT3G44790, AT3G44800, AT3G44805, AT3G58200, AT3G58210, AT3G58230, AT3G58240, AT3G58250, AT3G58260, AT3G58270, AT3G58280, AT3G58290, AT3G58300, AT3G58320, AT3G58330, AT3G58340, AT3G58350, AT3G58360, AT3G58370, AT3G58380, AT3G58400, AT3G58410, AT3G58420, AT3G58430, AT3G58440	GSVIVG01012760001, GSVIVG01012789001, GSVIVG01021521001
OG0000002	AT1G52650, AT1G58310, AT2G42720, AT2G42730, AT3G03030, AT3G03040, AT3G44810, AT3G49150, AT3G58860, AT3G58880, AT3G58900, AT3G58920, AT3G58930, AT3G58940, AT3G58950, AT3G59000, AT3G59160, AT3G59170, AT3G59180, AT3G59190, AT3G59200, AT3G59210, AT3G59230, AT3G59240, AT3G59250, AT4G00320, AT4G13960, AT4G14096, AT4G14103, AT4G22280, AT4G27050, AT5G38386, AT5G38390, AT5G38396, AT5G41630, AT5G41830, AT5G41840	GSVIVG01038063001, GSVIVG01038076001
OG0000003	AT1G34070, AT5G23960, AT5G48050	GSVIVG01014174001, GSVIVG01014175001, GSVIVG01014323001, GSVIVG01014324001, GSVIVG01014325001, GSVIVG01014557001, GSVIVG01014558001, GSVIVG01014565001, GSVIVG01014566001, GSVIVG01014569001, GSVIVG01016108001, GSVIVG01036308001, GSVIVG01036312001, GSVIVG01036313001, GSVIVG01036315001, GSVIVG01036317001, GSVIVG01036320001, GSVIVG01036322001, GSVIVG01036343001, GSVIVG01036344001, GSVIVG01036348001, GSVIVG01036360001, GSVIVG01036361001, GSVIVG01036366001, GSVIVG01036371001, GSVIVG01036373001, GSVIVG01036374001, GSVIVG01036376001
OG0000004	ATCG00650	GSVIVG01014599001, GSVIVG01021916001, GSVIVG01021920001, GSVIVG01021921001, GSVIVG01021935001, GSVIVG01021944001, GSVIVG01021948001, GSVIVG01021955001, GSVIVG01021958001, GSVIVG01022047001, GSVIVG01023404001, GSVIVG01023406001, GSVIVG01023432001, GSVIVG01023444001, GSVIVG01023551001, GSVIVG01023556001, GSVIVG01023557001, GSVIVG01023563001, GSVIVG01023570001, GSVIVG01023577001, GSVIVG01023579001, GSVIVG01026152001, GSVIVG01026162001, GSVIVG01029290001, GSVIVG01029297001, GSVIVG01029299001, GSVIVG01036188001, GSVIVG01036191001
OG0000005	AT1G06580, AT1G12300, AT1G12620, AT1G12700, AT1G12775, AT1G62590, AT1G62670, AT1G62680, AT1G62720, AT1G62910, AT1G62914, AT1G62930, AT1G63070, AT1G63080, AT1G63130, AT1G63150, AT1G63330, AT1G63400, AT1G64100, AT1G64580, AT1G64583, AT3G16710, AT3G22470, AT4G26800, AT5G16640, AT5G41170	GSVIVG01000757001
OG0000006	AT3G45860, AT4G05200, AT4G21400, AT4G21410, AT4G23130, AT4G23140, AT4G23150, AT4G23160, AT4G23170, AT4G23180, AT4G23230, AT4G23270, AT4G23280, AT4G23310	GSVIVG01005158001, GSVIVG01005163001, GSVIVG01005169001, GSVIVG01006430001, GSVIVG01006683001, GSVIVG01006739001, GSVIVG01006740001, GSVIVG01006872001, GSVIVG01006906001, GSVIVG01015799001, GSVIVG01034326001, GSVIVG01036853001, GSVIVG01036854001
OG0000007	AT3G54065, AT5G35810	GSVIVG01001211001, GSVIVG01001213001, GSVIVG01001215001, GSVIVG01001537001, GSVIVG01001892001, GSVIVG01003103001, GSVIVG01003105001, GSVIVG01003106001, GSVIVG01003110001, GSVIVG01003459001, GSVIVG01003463001, GSVIVG01003646001, GSVIVG01003648001, GSVIVG01005243001, GSVIVG01005246001, GSVIVG01005250001, GSVIVG01017528001, GSVIVG01017532001, GSVIVG01017537001, GSVIVG01017539001, GSVIVG01017540001, GSVIVG01019314001, GSVIVG01023767001, GSVIVG01027325001, GSVIVG01034623001
OG0000008	AT1G28430, AT1G50520, AT1G50560, AT2G05180, AT2G14100, AT2G27000, AT2G27010, AT3G20080, AT3G20090, AT3G20100, AT3G20110, AT3G20120, AT3G20130, AT3G20140, AT3G20935, AT3G20940, AT3G20950, AT3G20960, AT3G32047, AT4G15330, AT4G15350, AT4G15360, AT4G15380, AT5G42580, AT5G47990	GSVIVG01032050001
OG0000009	AT1G17170, AT1G17180, AT1G17190, AT1G78320, AT1G78340, AT1G78360, AT1G78370, AT1G78380	GSVIVG01004898001, GSVIVG01014951001, GSVIVG01014953001, GSVIVG01014960001, GSVIVG01014962001, GSVIVG01014963001, GSVIVG01014973001, GSVIVG01014974001, GSVIVG01038031001, GSVIVG01038035001, GSVIVG01038039001, GSVIVG01038046001, GSVIVG01038051001, GSVIVG01038059001
OG0000010	AT1G17615, AT1G72890, AT1G72900, AT1G72910, AT1G72920, AT1G72930, AT1G72940, AT1G72950	GSVIVG01001491001, GSVIVG01001801001, GSVIVG01005729001, GSVIVG01012761001, GSVIVG01015681001, GSVIVG01022979001, GSVIVG01022984001, GSVIVG01022988001, GSVIVG01022990001, GSVIVG01023028001, GSVIVG01023036001, GSVIVG01026098001, GSVIVG01026101001, GSVIVG01037180001
OG0000011	AT3G23730, AT4G14130, AT4G25810, AT4G30270, AT5G48070, AT5G57550, AT5G57560	GSVIVG01021354001, GSVIVG01021359001, GSVIVG01029158001, GSVIVG01029160001, GSVIVG01029161001, GSVIVG01029163001, GSVIVG01029165001, GSVIVG01029166001, GSVIVG01029170001, GSVIVG01029171001, GSVIVG01029173001, GSVIVG01029175001, GSVIVG01031576001, GSVIVG01031593001, GSVIVG01031601001
OG0000012	AT1G19640, AT2G14060, AT3G11480, AT3G21950, AT5G04370, AT5G04380, AT5G38020, AT5G66430	GSVIVG01009751001, GSVIVG01009752001, GSVIVG01009754001, GSVIVG01018733001, GSVIVG01018900001, GSVIVG01018903001, GSVIVG01018904001, GSVIVG01018906001, GSVIVG01018908001, GSVIVG01018910001, GSVIVG01018911001, GSVIVG01018913001, GSVIVG01018916001
OG0000013	AT2G25440, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT4G13810, AT4G13920, AT5G40170	GSVIVG01013992001, GSVIVG01013996001, GSVIVG01015659001, GSVIVG01029712001, GSVIVG01030067001, GSVIVG01030071001
OG0000014	AT2G26480, AT3G11340, AT3G46650, AT3G46660, AT3G46670, AT3G46680, AT3G46690, AT3G46700, AT3G46720, AT5G05860, AT5G05870, AT5G05880, AT5G05890, AT5G05900, AT5G37950, AT5G38010, AT5G38040, AT5G59580, AT5G59590	GSVIVG01016427001, GSVIVG01033638001
OG0000015	AT3G14610, AT3G14630, AT3G14640, AT3G14650, AT3G14680, AT3G14690	GSVIVG01000491001, GSVIVG01000493001, GSVIVG01000494001, GSVIVG01000497001, GSVIVG01000499001, GSVIVG01000506001, GSVIVG01014894001, GSVIVG01014902001, GSVIVG01014935001, GSVIVG01014943001, GSVIVG01014946001, GSVIVG01014958001, GSVIVG01014967001, GSVIVG01014977001, GSVIVG01014978001
OG0000016	AT5G09520, AT5G09530	GSVIVG01000842001, GSVIVG01001469001, GSVIVG01006083001, GSVIVG01013534001, GSVIVG01020314001, GSVIVG01020322001, GSVIVG01020343001, GSVIVG01020358001, GSVIVG01020395001, GSVIVG01020415001, GSVIVG01022864001, GSVIVG01022892001, GSVIVG01032140001, GSVIVG01032141001, GSVIVG01032147001, GSVIVG01036582001, GSVIVG01037447001, GSVIVG01038022001
OG0000017	AT1G33540, AT1G73270, AT1G73280, AT1G73290, AT1G73300, AT1G73310, AT2G22970, AT2G22980, AT2G22990, AT2G23000, AT2G23010, AT3G10450, AT3G12203, AT3G12220, AT3G12230, AT3G12240, AT5G09640, AT5G36180	GSVIVG01009319001
